n_spins,h,j,estimated_e,estimated_1z,estimated_nz,estimated_xx,estimated_yy,estimated_zz,estimated_m,estimated_zz_mid
10,0.00000,-1.00000,-17.93926,0.11100,0.09500,1.00173,-0.02506,0.02333,0.08750,0.00167
10,0.01515,-1.00000,-18.05644,0.06367,0.05367,1.00111,-0.02511,0.02400,0.05000,0.04100
10,0.03030,-1.00000,-17.70690,0.10367,0.07533,1.00137,0.00563,-0.00700,0.10000,-0.03600
10,0.04545,-1.00000,-17.94264,-0.01600,-0.01233,1.00008,-0.05775,0.05767,-0.02500,0.07600
10,0.06061,-1.00000,-18.04752,0.16100,0.12800,1.00442,-0.03942,0.03500,0.15000,0.01833
10,0.07576,-1.00000,-18.02866,0.01200,0.02600,1.00133,-0.04799,0.04667,0.02500,0.05800
10,0.09091,-1.00000,-17.91409,-0.00633,-0.01600,0.99986,-0.09753,0.09767,-0.01250,0.12433
10,0.10606,-1.00000,-18.02380,0.04233,0.07300,1.00508,0.03959,-0.04467,0.05000,-0.04300
10,0.12121,-1.00000,-17.95510,-0.03300,-0.05933,0.99909,0.06391,-0.06300,-0.05000,-0.05367
10,0.13636,-1.00000,-18.00426,-0.05867,-0.04867,0.99675,0.06058,-0.05733,-0.03750,-0.02467
10,0.15152,-1.00000,-18.12263,-0.03800,-0.01000,0.99972,0.02628,-0.02600,-0.01250,-0.04567
10,0.16667,-1.00000,-18.05253,0.13900,0.13300,1.01472,-0.02539,0.01067,0.15000,0.04333
10,0.18182,-1.00000,-18.12923,0.03500,0.06267,1.00456,0.05311,-0.05767,0.05000,-0.06400
10,0.19697,-1.00000,-18.00195,-0.13033,-0.11600,0.99064,-0.07564,0.08500,-0.12500,0.09100
10,0.22727,-1.00000,-17.78954,-0.02800,-0.01567,0.99969,0.03798,-0.03767,-0.02500,-0.06500
10,0.24242,-1.00000,-18.09388,0.03367,0.04867,1.01075,-0.01708,0.00633,0.05000,0.03133
10,0.25758,-1.00000,-18.11800,0.16533,0.13900,1.02681,-0.06381,0.03700,0.15000,0.06833
10,0.27273,-1.00000,-18.63776,-0.19533,-0.23900,0.97156,-0.01056,0.03900,-0.21250,0.02900
10,0.28788,-1.00000,-18.06877,-0.06967,-0.06133,0.99590,-0.01090,0.01500,-0.06250,0.04300
10,0.30303,-1.00000,-18.18316,-0.00767,-0.03367,1.00338,0.00328,-0.00667,-0.01250,-0.00067
10,0.31818,-1.00000,-18.35095,-0.08133,-0.11800,0.99064,-0.08197,0.09133,-0.10000,0.11133
10,0.33333,-1.00000,-18.10606,0.00933,-0.01000,1.00769,0.05565,-0.06333,0.01250,-0.10200
10,0.34848,-1.00000,-18.26313,-0.05233,-0.02600,1.00199,-0.02499,0.02300,-0.03750,0.01700
10,0.36364,-1.00000,-18.11052,-0.02167,-0.03033,1.00507,-0.02907,0.02400,-0.02500,0.02233
10,0.37879,-1.00000,nan,nan,nan,nan,nan,nan,nan,nan
10,0.39394,-1.00000,-18.61357,0.01167,-0.00500,1.01142,0.00724,-0.01867,-0.00000,-0.01233
10,0.40909,-1.00000,-18.12345,-0.12167,-0.08567,0.98851,-0.02118,0.03267,-0.11250,0.04033
10,0.42424,-1.00000,nan,nan,nan,nan,nan,nan,nan,nan
10,0.43939,-1.00000,-18.16249,0.05333,0.01967,1.02296,-0.00530,-0.01767,0.05000,-0.01367
10,0.45455,-1.00000,-18.55064,0.02433,0.04333,1.02374,-0.02741,0.00367,0.03750,0.00400
10,0.46970,-1.00000,-18.70874,-0.05767,-0.07000,1.00191,-0.05358,0.05167,-0.05000,0.04933
10,0.48485,-1.00000,-17.83899,-0.09167,-0.10867,0.99051,0.03982,-0.03033,-0.10000,-0.02933
10,0.50000,-1.00000,-18.57004,-0.07067,-0.05600,1.00249,0.00884,-0.01133,-0.05000,-0.00467
10,0.51515,-1.00000,-18.45169,-0.05900,-0.04500,1.00501,-0.01968,0.01467,-0.05000,-0.01033
10,0.53030,-1.00000,-18.34894,0.12067,0.13267,1.05233,-0.02233,-0.03000,0.11250,-0.00800
10,0.54545,-1.00000,-19.03260,0.10733,0.12433,1.05909,-0.08142,0.02233,0.11250,0.02133
10,0.56061,-1.00000,-18.48844,0.00367,0.02033,1.02910,-0.06310,0.03400,0.01250,0.00233
10,0.57576,-1.00000,-18.33179,0.03233,0.00600,1.03108,-0.04008,0.00900,0.02500,-0.01467
